基因	变异分类	肿瘤类型	亚型	变异等级	证据来源	证据等级	证据类型	临床意义类别	治疗方案	方案描述	文献号	版本号
EGFR	EGFR exon 19 del	非小细胞肺癌		I	FDA	A级	治疗	敏感	阿法替尼	FDA批准阿法替尼可用于携带有EGFR非耐药突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NMPA	A级	治疗	敏感	阿法替尼	NMPA批准阿法替尼用于具有表皮生长因子受体(EGFR)基因敏感突变的局部晚期或转移性非小细胞肺癌，且既往未接受过EGFR酪氨酸激酶抑制剂治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NCCN	A级	治疗	敏感	吉非替尼	NCCN非小细胞肺癌指南提示，吉非替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO	A级	治疗	敏感	吉非替尼	CSCO非小细胞肺癌诊疗指南提示，吉非替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	FDA	A级	治疗	敏感	吉非替尼	FDA批准吉非替尼用于EGFR第19号外显子缺失或L858R突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NMPA	A级	治疗	敏感	吉非替尼	NMPA批准吉非替尼用于表皮生长因子受体(EGFR)基因具有敏感突变的局部晚期或转移性非小细胞肺癌患者的一线治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NCCN	A级	治疗	敏感	达可替尼	NCCN非小细胞肺癌指南提示，达可替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO	A级	治疗	敏感	达可替尼	CSCO非小细胞肺癌诊疗指南提示，达可替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	FDA	A级	治疗	敏感	达可替尼	FDA批准达可替尼用于EGFR基因19号外显子缺失或21号外显子L858R突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO	A级	治疗	敏感	埃克替尼	CSCO非小细胞肺癌诊疗指南提示，埃克替尼可用于携带EGFR敏感突变的IV期NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NMPA	A级	治疗	敏感	达可替尼	NMPA批准达可替尼用于EGFR基因19号外显子缺失或21号外显子L858R突变的局部晚期或转移性NSCLC患者的一线治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NMPA	A级	治疗	敏感	埃克替尼	NMPA批准埃克替尼用于具有表皮生长因子受体（EGFR）基因敏感突变的局部晚期或转移性非小细胞肺癌的一线治疗和术后辅助治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼+雷莫芦单抗	NCCN非小细胞肺癌指南提示，厄洛替尼+雷莫芦单抗可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	FDA	A级	治疗	敏感	厄洛替尼+雷莫芦单抗	FDA批准厄洛替尼+雷莫芦单抗联用，用于具有EGFR外显子19缺失或EGFR外显子21（L858R）突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼+贝伐珠单抗	NCCN非小细胞肺癌指南提示，厄洛替尼+贝伐珠单抗可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC非鳞癌患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO	A级	治疗	敏感	厄洛替尼+贝伐珠单抗	CSCO非小细胞肺癌诊疗指南提示，厄洛替尼+贝伐珠单抗可作为携带EGFR敏感突变的NSCLC患者一线治疗的选择(Ⅱ级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	CSCO	A级	治疗	敏感	阿美替尼	CSCO非小细胞肺癌诊疗指南提示，阿美替尼可用于携带EGFR敏感突变的IV期NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 19 del	非小细胞肺癌		I	NMPA	A级	治疗	敏感	阿美替尼	NMPA批准阿美替尼用于具有EGFR敏感突变的局部晚期或转移性非小细胞肺癌成人患者的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	奥希替尼	NCCN非小细胞肺癌指南提示，奥希替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（首选推荐），另外，奥希替尼用于携带EGFR基因敏感突变的非小细胞肺癌成人患者肿瘤切除后或未接受铂类化疗的辅助治疗。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO	A级	治疗	敏感	奥希替尼	CSCO非小细胞肺癌诊疗指南提示，奥希替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	FDA	A级	治疗	敏感	奥希替尼	FDA批准奥希替尼用于EGFR 19号外显子缺失或L858R突变的转移性非小细胞肺癌成人患者的一线治疗和术后辅助治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NMPA	A级	治疗	敏感	奥希替尼	NMPA批准奥希替尼用于EGFR外显子19缺失或外显子21（L858R）置换突变的局部晚期或转移性非小细胞肺癌（NSCLC）成人患者的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼	NCCN非小细胞肺癌指南提示，厄洛替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO	A级	治疗	敏感	厄洛替尼	CSCO非小细胞肺癌诊疗指南提示，厄罗替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	FDA	A级	治疗	敏感	厄洛替尼	FDA批准厄洛替尼可用于EGFR 19外显子缺失或L858R突变的转移性非小细胞肺癌的一线治疗、维持治疗、至少一次化疗进展后的二线或更多线治疗方案。		
EGFR	EGFR L858R	非小细胞肺癌		I	NMPA	A级	治疗	敏感	厄洛替尼	NMPA批准厄洛替尼单药适用于表皮生长因子受体（EGFR）基因具有敏感突变的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗，包括一线治疗、维持治疗，或既往接受过至少一次化疗进展后的二线及以上治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	阿法替尼	NCCN非小细胞肺癌指南提示，阿法替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO 	A级	治疗	敏感	阿法替尼	CSCO非小细胞肺癌诊疗指南提示，阿法替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	FDA	A级	治疗	敏感	阿法替尼	FDA批准阿法替尼可用于携带有EGFR非耐药突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NMPA	A级	治疗	敏感	阿法替尼	NMPA批准阿法替尼用于具有表皮生长因子受体(EGFR)基因敏感突变的局部晚期或转移性非小细胞肺癌，且既往未接受过EGFR酪氨酸激酶抑制剂治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	吉非替尼	NCCN非小细胞肺癌指南提示，吉非替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO	A级	治疗	敏感	吉非替尼	CSCO非小细胞肺癌诊疗指南提示，吉非替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	FDA	A级	治疗	敏感	吉非替尼	FDA批准吉非替尼用于EGFR 19外显子缺失或L858R突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NMPA	A级	治疗	敏感	吉非替尼	NMPA批准吉非替尼用于表皮生长因子受体(EGFR)基因具有敏感突变的局部晚期或转移性非小细胞肺癌患者的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	达可替尼	NCCN非小细胞肺癌指南提示，达可替尼可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO	A级	治疗	敏感	达可替尼	CSCO非小细胞肺癌诊疗指南提示，达可替尼可用于Ⅳ期EGFR突变NSCLC患者一线治疗（1A类证据，Ⅰ级推荐）。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	FDA	A级	治疗	敏感	达可替尼	FDA批准达可替尼用于EGFR基因19号外显子缺失或21号外显子L858R突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NMPA	A级	治疗	敏感	达可替尼	NMPA批准达可替尼用于EGFR基因19号外显子缺失或21号外显子L858R突变的局部晚期或转移性NSCLC患者的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO	A级	治疗	敏感	埃克替尼	CSCO非小细胞肺癌诊疗指南提示，埃克替尼可用于携带EGFR敏感突变的IV期NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	NMPA	A级	治疗	敏感	埃克替尼	NMPA批准埃克替尼用于表皮生长因子受体（EGFR）基因具有敏感突变的局部晚期或转移性非小细胞肺癌的一线治疗和术后辅助治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼+雷莫芦单抗	NCCN非小细胞肺癌指南提示，厄洛替尼+雷莫芦单抗可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L858R	非小细胞肺癌		I	FDA	A级	治疗	敏感	厄洛替尼+雷莫芦单抗	FDA批准厄洛替尼+雷莫芦单抗联用，用于具有EGFR外显子19缺失或EGFR外显子21（L858R）突变的转移性非小细胞肺癌的一线治疗。		
EGFR	EGFR L858R	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼+贝伐珠单抗	NCCN非小细胞肺癌指南提示，厄洛替尼+贝伐珠单抗可用于携带EGFR第19号外显子突变或者EGFR L858R突变的转移性NSCLC非鳞癌患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO	A级	治疗	敏感	厄洛替尼+贝伐珠单抗	CSCO非小细胞肺癌诊疗指南提示，厄洛替尼+贝伐珠单抗可作为携带EGFR敏感突变的NSCLC患者一线治疗的选择(Ⅱ级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	CSCO	A级	治疗	敏感	阿美替尼	CSCO非小细胞肺癌诊疗指南提示，阿美替尼可用于携带EGFR敏感突变的IV期NSCLC的一线治疗(I级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR L858R	非小细胞肺癌		I	NMPA	A级	治疗	敏感	阿美替尼	NMPA批准阿美替尼用于具有EGFR敏感突变的局部晚期或转移性非小细胞肺癌成人患者的一线治疗。		
EGFR	EGFR S768I	非小细胞肺癌		I	NCCN	A级	治疗	敏感	奥希替尼	NCCN非小细胞肺癌指南提示，奥希替尼可用于携带EGFR S768I突变的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR S768I	非小细胞肺癌		I	NCCN	A级	治疗	敏感	阿法替尼	NCCN非小细胞肺癌指南提示，阿法替尼可用于携带EGFR S768I突变的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR S768I	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼	NCCN非小细胞肺癌指南提示，厄洛替尼可用于携带EGFR S768I突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR S768I	非小细胞肺癌		I	NCCN	A级	治疗	敏感	吉非替尼	NCCN非小细胞肺癌指南提示，吉非替尼可用于携带EGFR S768I突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR S768I	非小细胞肺癌		I	NCCN	A级	治疗	敏感	达可替尼	NCCN非小细胞肺癌指南提示，达可替尼可用于携带EGFR S768I突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR S768I	非小细胞肺癌		I	NMPA	A级	治疗	敏感	埃克替尼	NMPA批准埃克替尼用于具有表皮生长因子受体（EGFR）基因敏感突变的局部晚期或转移性非小细胞肺癌的一线治疗和术后辅助治疗。		
EGFR	EGFR L861Q	非小细胞肺癌		I	NCCN	A级	治疗	敏感	奥希替尼	NCCN非小细胞肺癌指南提示，奥希替尼可用于携带EGFR L861Q突变的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L861Q	非小细胞肺癌		I	NCCN	A级	治疗	敏感	阿法替尼	NCCN非小细胞肺癌指南提示，阿法替尼可用于携带EGFR L861Q突变的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L861Q	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼	NCCN非小细胞肺癌指南提示，厄洛替尼可用于携带EGFR L861Q突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L861Q	非小细胞肺癌		I	NCCN	A级	治疗	敏感	吉非替尼	NCCN非小细胞肺癌指南提示，吉非替尼可用于携带EGFR L861Q突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L861Q	非小细胞肺癌		I	NCCN	A级	治疗	敏感	达可替尼	NCCN非小细胞肺癌指南提示，达可替尼可用于携带EGFR L861Q突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR L861Q	非小细胞肺癌		I	NMPA	A级	治疗	敏感	埃克替尼	NMPA批准埃克替尼用于具有表皮生长因子受体（EGFR）基因敏感突变的局部晚期或转移性非小细胞肺癌的一线治疗和术后辅助治疗。		
EGFR	EGFR G719X	非小细胞肺癌		I	NCCN	A级	治疗	敏感	奥希替尼	NCCN非小细胞肺癌指南提示，奥希替尼可用于携带EGFR G719X突变的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR G719X	非小细胞肺癌		I	NCCN	A级	治疗	敏感	阿法替尼	NCCN非小细胞肺癌指南提示，阿法替尼可用于携带EGFR G719X突变的转移性NSCLC患者的一线治疗（首选推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR G719X	非小细胞肺癌		I	NCCN	A级	治疗	敏感	厄洛替尼	NCCN非小细胞肺癌指南提示，厄洛替尼可用于携带EGFR G719X突变的转移性NSCLC患者的一线治疗（其他推荐）	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR G719X	非小细胞肺癌		I	NCCN	A级	治疗	敏感	吉非替尼	NCCN非小细胞肺癌指南提示，吉非替尼可用于携带EGFR G719X突变的转移性NSCLC患者的一线治疗（其他推荐）	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR G719X	非小细胞肺癌		I	NCCN	A级	治疗	敏感	达可替尼	NCCN非小细胞肺癌指南提示，达可替尼可用于携带EGFR G719X突变的转移性NSCLC患者的一线治疗（其他推荐）。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR G719X	非小细胞肺癌		I	NMPA	A级	治疗	敏感	埃克替尼	NMPA批准埃克替尼用于具有表皮生长因子受体（EGFR）基因敏感突变的局部晚期或转移性非小细胞肺癌的一线治疗和术后辅助治疗。		
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Amivantamab-vmjw	NCCN非小细胞肺癌指南提示，Amivantamab-vmjw可用于治疗铂类化疗后进展的EGFR第20号外显子插入突变的局部晚期或转移性非小细胞肺癌患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Amivantamab-vmjw	CSCO非小细胞肺癌诊疗指南提示，Amivantamab-vmjw用于EGFR第20号外显子插入突变的IV期NSCLC的后线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	FDA	A级	治疗	敏感	Amivantamab-vmjw	FDA批准Amivantamab-vmjw用于接受以铂类为基础的化疗疾病进展中或之后携带表皮生长因子受体(EGFR)20号外显子插入突变的局部晚期或转移性非小细胞肺癌(NSCLC)成年患者治疗。		
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Mobocertinib	NCCN非小细胞肺癌指南提示，Mobocertinib可用于治疗铂类化疗后进展的EGFR第20号外显子插入突变的局部晚期或转移性非小细胞肺癌患者。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Mobocertinib	CSCO非小细胞肺癌诊疗指南提示，Mobocertinib用于IV期EGFR第20号外显子插入突变的IV期NSCLC的后线治疗(III级推荐)。	CSCO非小细胞肺癌诊疗指南	2022
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	FDA	A级	治疗	敏感	Mobocertinib	FDA批准Mobocertinib可用于接受以铂类为基础的化疗疾病进展中或之后携带表皮生长因子受体(EGFR)20号外显子插入突变的局部晚期或转移性非小细胞肺癌(NSCLC)成年患者治疗。		
EGFR	EGFR exon 20 ins	非小细胞肺癌		I	NCCN	A级	治疗	耐药	EGFR TKIs	NCCN非小细胞肺癌指南提示，大多数EGFR第20号外显子插入突变对EGFR TKIs耐药。	NCCN Guidelines Non-Small Cell Lung Cancer	Version 3.2022
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	NCCN	C级	治疗	敏感	奥希替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	NCCN	C级	治疗	敏感	阿法替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	NCCN	C级	治疗	敏感	厄洛替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	NCCN	C级	治疗	敏感	吉非替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	NCCN	C级	治疗	敏感	达可替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	NCCN	C级	治疗	敏感	Amivantamab-vmjw	NCCN非小细胞肺癌指南提示，Amivantamab-vmjw可用于治疗铂类化疗后进展的EGFR第20号外显子插入突变的局部晚期或转移性非小细胞肺癌患者。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Amivantamab-vmjw	CSCO非小细胞肺癌诊疗指南提示，Amivantamab-vmjw用于EGFR第20号外显子插入突变的IV期NSCLC的后线治疗(III级推荐)。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	FDA	A级	治疗	敏感	Amivantamab-vmjw	FDA批准Amivantamab-vmjw用于接受以铂类为基础的化疗疾病进展中或之后携带表皮生长因子受体(EGFR)20号外显子插入突变的局部晚期或转移性非小细胞肺癌(NSCLC)成年患者治疗。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	NCCN	A级	治疗	敏感	Mobocertinib	NCCN非小细胞肺癌指南提示，Mobocertinib可用于治疗铂类化疗后进展的EGFR第20号外显子插入突变的局部晚期或转移性非小细胞肺癌患者。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	CSCO	A级	治疗	敏感	Mobocertinib	CSCO非小细胞肺癌诊疗指南提示，Mobocertinib用于IV期EGFR第20号外显子插入突变的IV期NSCLC的后线治疗(III级推荐)。		
EGFR	EGFR A763_764insFQEA	非小细胞肺癌		I	FDA	A级	治疗	敏感	Mobocertinib	FDA批准Mobocertinib可用于接受以铂类为基础的化疗疾病进展中或之后携带表皮生长因子受体(EGFR)20号外显子插入突变的局部晚期或转移性非小细胞肺癌(NSCLC)成年患者治疗。		
EGFR	EGFR A763_Y764insLQEA	非小细胞肺癌		I	NCCN	A级	治疗	敏感	吉非替尼	NCCN指南指出大多数EGFR 20外显子插入突变为EGFR-TKI耐药突变，但是p.A763_764insFQEA和p. A763_Y764insLQEA除外，p.A763_Y764insFQEA对EGFR-TKI治疗敏感，而p.A763_Y764insLQEA对第一、三代EGFR-TKI治疗敏感。		
