#主分类(中文)	HPO编号	名称(英文)	定义(英文)	中文译名	中文定义
泌尿生殖系统异常	HP:0000052	Urethral atresia, male	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	男性尿道闭锁	一种先天性异常，男性的尿道开口闭锁或未发育形成开口。
泌尿生殖系统异常	HP:0000053	Macroorchidism	The presence of abnormally large testes.	巨睾	异常的大睾丸。
泌尿生殖系统异常	HP:0000054	Micropenis	Abnormally small `penis` (FMA:9707). At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.	小阴茎	异常小的阴茎。出生时，正常阴茎大约长3厘米（从耻骨结节到龟头顶端拉直了量得的长度），小于2.0-2.5厘米为小阴茎。
泌尿生殖系统异常	HP:0000055	Abnormality of female external genitalia	An abnormality of the `female external genitalia` (FMA:45649).	女性外生殖器异常	女性外生殖器的异常。
泌尿生殖系统异常	HP:0000056	Abnormality of the clitoris	An abnormality of the `clitoris` (FMA:9909).	阴蒂异常	阴蒂的异常。
	HP:0000057	Clitoromegaly	`Increased size` (PATO:0000586) of the `clitoris` (FMA:9909).	阴蒂肥大	阴蒂体积增大。
泌尿生殖系统异常	HP:0000058	Abnormality of the labia	An anomaly of the labia, the externally visible portions of the vulva.	阴唇异常	阴唇的异常，阴蒂是女阴外部可见部分。
泌尿生殖系统异常	HP:0000059	Hypoplastic labia majora	Undergrowth of the outer labia.	大阴唇发育不良	大阴唇发育低下。
泌尿生殖系统异常	HP:0000060	Clitoral hypoplasia	Developmental hypoplasia of the `clitoris` (FMA:9909).	阴蒂发育不良	阴蒂的发育低下。
泌尿生殖系统异常	HP:0000061	Ambiguous genitalia, female	`Ambiguous genitalia` (HP:0000062) in an individual with XX genetic gender.	女性外阴性别不明	遗传学性别为XX个体的外阴性别不明。
泌尿生殖系统异常	HP:0000062	Ambiguous genitalia	A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.	外阴性别不明	根据生殖器外型无法确定是属于哪一种性别。外阴性别不明可以使用Prader计分来进行评估：Prader 0:正常女性外生殖器；Prader 1:女性外阴但阴蒂增大；Prader 2:阴蒂较大，阴唇部分融合，形成漏斗状阴道口；Prader 3:阴茎增大，阴唇完全融合形成尿生殖窦，有单一的尿道开口。Prader 4:阴囊完全融合，泌尿生殖口在阴茎的根部或阴茎上，类似尿道下裂；Prader 5:正常男性外生殖器。Prader 1-4 诊断为外阴性别不明。
泌尿生殖系统异常	HP:0000063	Fused labia minora	Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.	小阴唇融合	由于阴唇粘连造成小阴唇融合，导致阴道梗阻。
泌尿生殖系统异常	HP:0000064	Hypoplastic labia minora	#####	小阴唇发育不良	#####
泌尿生殖系统异常	HP:0000065	Labial hypertrophy	#####	阴唇肥厚	#####
泌尿生殖系统异常	HP:0000066	Labial hypoplasia	#####	阴唇发育不良	#####
泌尿生殖系统异常	HP:0000067	Urethral atresia, female	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.	女性尿道闭锁	一种先天性异常，女性的尿道开口闭锁或未发育形成开口。
泌尿生殖系统异常	HP:0000068	Urethral atresia	Congenital anomaly characterized by closure or failure to develop an opening in the urethra.	尿道闭锁	一种先天性异常，尿道开口闭锁或未发育形成开口。
泌尿生殖系统异常	HP:0000069	Abnormality of the ureter	An abnormality of the `ureter` (FMA:9704).	输尿管异常	输尿管的异常。
泌尿生殖系统异常	HP:0000070	Ureterocele	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.	输尿管囊肿	输尿管远端段先天性囊状扩张。
泌尿生殖系统异常	HP:0000071	Ureteral stenosis	The presence of a stenotic, i.e., `constricted` (PATO:0001847) `ureter` (FMA:9704).	输尿管狭窄	输尿管狭窄，即输尿管缢缩。
泌尿生殖系统异常	HP:0000072	Hydroureter	The distention of the `ureter` (FMA:9704) with urine.	输尿管积水	输尿管内潴留尿液导致其扩张。
泌尿生殖系统异常	HP:0000073	Ureteral duplication	A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.	输尿管重复	一种发育异常，一侧肾脏通过两根输尿管（而不是一根）连接到膀胱。
泌尿生殖系统异常	HP:0000074	Ureteropelvic junction obstruction	Blockage of urine flow from the renal pelvis to the proximal ureter.	肾盂输尿管连接部梗阻	在肾盂到近端输尿管尿处流受到阻断。
泌尿生殖系统异常	HP:0000075	Renal duplication	A congenital anomaly of the urinary tract, in which the `kidney` (FMA:7203) is duplicated and is drained via two separate renal pelves and ureters.	肾重复	先天性泌尿道异常，肾发生重复并分别经由两个独立的肾盂和输尿管下排。
泌尿生殖系统异常	HP:0000076	Vesicoureteral reflux	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.	膀胱输尿管返流	尿液从膀胱异常（反向）流动进入输尿管或达到肾，与输尿管膀胱瓣膜结构异常有关，或存在其他原因。
泌尿生殖系统异常	HP:0000077	Abnormality of the kidney	An abnormality of the `kidney` (FMA:7203).	肾脏异常	肾脏的异常。
泌尿生殖系统异常	HP:0000078	Abnormality of the genital system	An abnormality of the `genital system` (FMA:7160).	生殖系统异常	生殖系统的异常。
泌尿生殖系统异常	HP:0000079	Abnormality of the urinary system	An abnormality of the `urinary system` (FMA:7159).	泌尿系统异常	泌尿系统的异常。
泌尿生殖系统异常	HP:0000080	Abnormality of genital physiology	An `abnormal` (PATO:0000460) `functionality` (PATO:0001509) of the `genital system` (FMA:7160).	生殖生理异常	生殖系统发生的功能异常。
泌尿生殖系统异常	HP:0000081	Duplicated collecting system	A duplication of the collecting system of the kidney.	集合管系统重复	肾集合管系统的重复。
泌尿生殖系统异常	HP:0000083	Renal insufficiency	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.	肾功能不全	肾功能的降低，肾功能包括尿液的浓缩、廓清废物、维持电解质平衡、维持机体内血压平衡和钙代谢。
泌尿生殖系统异常	HP:0000085	Horseshoe kidney	A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.	马蹄肾	由有肾功能的肾实质或纤维组织将左右肾在中线峡部连接起来，呈现马蹄状。
泌尿生殖系统异常	HP:0000086	Ectopic kidney	A developmental defect in which a kidney is located in an abnormal anatomic position.	异位肾	由发育异常导致肾脏不在正常解剖位置。
泌尿生殖系统异常	HP:0000089	Renal hypoplasia	`Hypoplasia` (MPATH:133) of the `kidney` (FMA:7203).	肾发育不全	肾发育不良。
泌尿生殖系统异常	HP:0000090	Nephronophthisis	Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.	肾消耗病	肾皮髓质交界处存在囊肿，伴肾小管间质性纤维化。
泌尿生殖系统异常	HP:0000091	Abnormality of the renal tubule	An abnormality of the `renal tubules` (FMA:15627).	肾小管异常	肾小管的异常。
泌尿生殖系统异常	HP:0000092	Tubular atrophy	The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.	肾小管萎缩	肾小管形成增厚的冗余基底膜，或与周围未萎缩的小管相比直径减小超过一半。
泌尿生殖系统异常,代谢紊乱/稳态失衡	HP:0000093	Proteinuria	Increased levels of protein in the urine.	蛋白尿	尿液中蛋白质水平增加。
泌尿生殖系统异常	HP:0000095	Abnormality of the glomerulus	A structural anomaly of the `glomerulus` (FMA:15624).	肾小球异常	肾小球的结构异常。
泌尿生殖系统异常	HP:0000096	Glomerulosclerosis	Accumulation of scar tissue within the glomerulus.	肾小球硬化	肾小球内疤痕组织占位。
泌尿生殖系统异常	HP:0000097	Focal segmental glomerulosclerosis	Segmental accumulation of scar tissue in individual (but not all) glomeruli.	局灶节段性肾小球硬化	在部分（而不是全部）肾小球存在节段性瘢痕组织增加。
生长异常	HP:0000098	Tall stature	A height above that which is expected according to age and gender norms.	高身材	身高高于该年龄性别预期身高的正常范围。
泌尿生殖系统异常,免疫系统异常	HP:0000099	Glomerulonephritis	Inflammation of the renal glomeruli.	肾小球肾炎	肾小球的炎症。
泌尿生殖系统异常	HP:0000100	Nephrotic syndrome	Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.	肾病综合征	肾病综合征包含一系列的异常，由肾小球功能障碍所致，伴肾小球毛细血管壁通透性增加而产生明显的蛋白尿。肾病综合征是指严重的肾性蛋白质损失，致蛋白尿、低白蛋白血症、浮肿和高血脂症等一系列临床表现。
泌尿生殖系统异常	HP:0000103	Polyuria	An `increased rate` (PATO:0000912) of urine production.	多尿	尿液生成率增加。
泌尿生殖系统异常	HP:0000104	Renal agenesis	`Agenesis` (MPATH:57), that is, failure of the `kidney` (FMA:7203) to develop during embryogenesis and development.	肾缺如	肾缺如是指在胚胎形成和发育过程中没有肾脏发育。
泌尿生殖系统异常	HP:0000105	Enlarged kidneys	An abnormal increase in the size of the kidney.	肾脏增大	肾脏的大小异常增加。
泌尿生殖系统异常	HP:0000107	Renal cyst	A fluid filled sac in the kidney.	肾囊肿	肾脏中有充满液体的囊。
泌尿生殖系统异常	HP:0000108	Renal corticomedullary cysts	The presence of multiple cysts at the border between the renal cortex and medulla.	肾皮髓质交界处囊肿	肾皮质和髓质交界处多发性囊肿。
泌尿生殖系统异常	HP:0000110	Renal dysplasia	The presence of `developmental dysplasia` (MPATH:64) of the `kidney` (FMA:7203).	肾发育不良	肾脏发育不良。
泌尿生殖系统异常	HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	Increased number and size of the juxtaglomerular cells.	肾小球球旁细胞肥大/增生	肾小球球旁细胞数量增加和体积增大。
泌尿生殖系统异常	HP:0000112	Nephropathy	A nonspecific term referring to disease or damage of the kidneys.	肾病	非特异性术语​​，通指肾脏的疾病或损伤。
泌尿生殖系统异常	HP:0000113	Polycystic kidney dysplasia	The presence of multiple cysts in both kidneys.	多囊性肾发育不良	双侧肾脏多发囊肿。
泌尿生殖系统异常	HP:0000114	Proximal tubulopathy	Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle.	近端肾小管病	近端肾小管功能障碍，近端肾小管是从肾小囊（鲍曼囊）通往细尿管袢（亨利袢）的肾单位管道系统的一部分。
泌尿生殖系统异常,代谢紊乱/稳态失衡	HP:0000117	Renal phosphate wasting	High urine phosphate in the presence of hypophosphatemia.	肾源性磷酸盐流失	低磷血症时尿液中出现高磷酸盐。
泌尿生殖系统异常	HP:0000119	Abnormality of the genitourinary system	The presence of any abnormality of the `genitourinary system` (FMA:280610).	泌尿生殖系统异常	泌尿生殖系统的异常。
泌尿生殖系统异常	HP:0000121	Nephrocalcinosis	Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.	肾钙质沉着症	肾钙质沉着症指是钙盐在肾实质的沉积。
泌尿生殖系统异常	HP:0000122	Unilateral renal agenesis	A `unilateral` (PATO:0000634) form of `agenesis` (MPATH:57) of the `kidney` (FMA:7203).	单侧肾缺如	单侧型肾缺如。
泌尿生殖系统异常,免疫系统异常	HP:0000123	Nephritis	The presence of `inflammation` (MPATH:212) affecting the `kidney` (FMA:7203).	肾炎	肾脏出现炎症反应。
泌尿生殖系统异常	HP:0000124	Renal tubular dysfunction	#####	肾小管功能障碍	#####
泌尿生殖系统异常	HP:0000125	Pelvic kidney	A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.	盆腔肾	一种肾发育缺陷，肾脏解剖位置异常，位于骨盆内。
泌尿生殖系统异常	HP:0000126	Hydronephrosis	Severe distention of the kidney with dilation of the renal pelvis and calices.	肾积水	肾脏严重扩张伴肾盂和肾盏扩张。
泌尿生殖系统异常,代谢紊乱/稳态失衡	HP:0000127	Renal salt wasting	A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).	肾源性盐流失	在血清中电解质浓度低时，尿液中出现一种或多种高浓度的电解质。
泌尿生殖系统异常,代谢紊乱/稳态失衡	HP:0000128	Renal potassium wasting	High urine potassium in the presence of hypokalemia.	肾源性钾流失	低钾血症时，尿液中出现高浓度钾。
泌尿生殖系统异常	HP:0000130	Abnormality of the uterus	An abnormality of the `uterus` (FMA:17558).	子宫异常	子宫的异常。
肿瘤,泌尿生殖系统异常	HP:0000131	Uterine leiomyoma	The presence of a `leiomyoma` (MPATH:425) of the `uterus` (FMA:17558).	子宫肌瘤	子宫部位发生的平滑肌瘤。
泌尿生殖系统异常,内分泌系统异常,血液和造血组织异常	HP:0000132	Menorrhagia	Abnormally heavy and prolonged menstrual period.	月经过多症	月经异常增多和经期延长。
泌尿生殖系统异常	HP:0000133	Gonadal dysgenesis	#####	性腺发育不全	#####
泌尿生殖系统异常,内分泌系统异常	HP:0000134	Female hypogonadism	"Decreased functionality" (PATO:0001624) of the female gonad, i.e., of the "ovary" (FMA:7209).	女性性腺功能减退症	女性的性腺即卵巢功能减退。
泌尿生殖系统异常,内分泌系统异常	HP:0000135	Hypogonadism	A "decreased functionality" (PATO:0001624) of the "gonad" (FMA:18250).	性腺功能减退症	性腺的功能下降。
泌尿生殖系统异常	HP:0000136	Bifid uterus	The presence of a `bifid` (PATO:0001572) `uterus` (FMA:17558).	双角子宫	子宫分裂成两半。
泌尿生殖系统异常	HP:0000137	Abnormality of the ovary	An abnormality of the `ovary` (FMA:7209).	卵巢异常	卵巢的异常。
泌尿生殖系统异常	HP:0000138	Ovarian cyst	The presence of one or more `cysts` (MPATH:62) of the `ovary` (FMA:7209).	卵巢囊肿	卵巢有一个或多个囊肿。
泌尿生殖系统异常,结缔组织异常	HP:0000139	Uterine prolapse	The presence of `prolapse` (MPATH:626) of the `uterus` (FMA:17558).	子宫脱垂	子宫(FMA:17558)发生脱垂(MPATH:626)。
泌尿生殖系统异常,内分泌系统异常	HP:0000140	Abnormality of the menstrual cycle	An abnormality of the "ovulation cycle" (GO:0042698).	月经周期异常	排卵周期的异常。
泌尿生殖系统异常,内分泌系统异常	HP:0000141	Amenorrhea	#####	闭经	#####
泌尿生殖系统异常	HP:0000142	Abnormality of the vagina	An abnormality of the `vagina` (FMA:19949).	阴道异常	阴道的异常。
泌尿生殖系统异常,消化系统异常	HP:0000143	Rectovaginal fistula	The presence of a `fistula` (MPATH:70) between the `vagina` (FMA:19949) and the `rectum` (FMA:14544).	直肠阴道瘘	直肠和阴道之间的瘘管。
泌尿生殖系统异常	HP:0000144	Decreased fertility	#####	生育能力下降	#####
泌尿生殖系统异常	HP:0000145	Transverse vaginal septum	#####	阴道横膈	#####
泌尿生殖系统异常	HP:0000147	Polycystic ovaries	#####	多囊卵巢	#####
泌尿生殖系统异常	HP:0000148	Vaginal atresia	Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.	阴道闭锁	阴道先天闭塞或阴道壁粘连造成闭锁。
肿瘤,泌尿生殖系统异常	HP:0000149	Ovarian gonadoblastoma	The presence of a `gonadoblastoma` (MPATH:315) of the `ovary` (FMA:7209).	卵巢性腺母细胞瘤	卵巢中形成性腺母细胞瘤。
肿瘤,泌尿生殖系统异常	HP:0000150	Gonadoblastoma	The presence of a `gonadoblastoma` (MPATH:315), a `neoplasm` (MPATH:218) of a `gonad` (FMA:18250) that consists of aggregates of germ cells and sex cord elements.	性腺母细胞瘤	性腺内发生的母细胞瘤或肿瘤。这里定义的性腺由生殖细胞和生殖索成分组成。
泌尿生殖系统异常	HP:0000151	aplasia of the uterus	`Aplasia` (MPATH:58) of the `uterus` (FMA:17558).	子宫发育不全	子宫发育不全。
头部和颈部的异常	HP:0000152	Abnormality of head and neck	An abnormality of `head and neck` (FMA:280881).	头部和颈部的异常	头部和颈部的异常。
头部和颈部的异常	HP:0000153	Abnormality of the mouth	An abnormality of the `mouth` (FMA:49184).	嘴部异常	嘴部的异常。
头部和颈部的异常	HP:0000154	Wide mouth	Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective).	宽嘴	两侧嘴角之间的距离大于平均值超过2个标准偏差。或嘴巴开口宽度显得增大（主观）。
头部和颈部的异常	HP:0000155	Oral ulcer	Erosion of the mucous membrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue.	口腔溃疡	口腔粘膜表面局部开口受侵蚀，导致炎性坏死组织脱落。
头部和颈部的异常	HP:0000157	Abnormality of the tongue	Any abnormality of the `tongue` (FMA:54640).	舌异常	舌头的任何异常。
肌肉组织异常,头部和颈部的异常	HP:0000158	Macroglossia	Increased length and width of the tongue.	巨舌症	舌头的长度和宽度增加。
头部和颈部的异常	HP:0000159	Abnormality of the lip	An abnormality of the `lip` (FMA:59815).	唇异常	唇部的异常。
头部和颈部的异常	HP:0000160	Narrow mouth	Distance between the commissures of the `mouth` (FMA:49184) more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).	嘴巴狭窄	嘴巴的连合间距离低于平均值超过2个标准偏差。或者嘴巴开口的距离显得减小（主观）。
头部和颈部的异常	HP:0000161	Median cleft lip	A type of `cleft lip` (HP:0000204) presenting as a midline (median) gap in the upper lip.	正中唇裂	一种表现为有上唇中线（中）沟痕的唇裂。
头部和颈部的异常	HP:0000162	Glossoptosis	Posterior displacement of the tongue into the pharynx, i.e., a `tongue` (FMA:54640) that is `mislocalised posteriorly` (PATO:0001922).	舌后坠	舌头向后位移到咽部，即舌头向后错位。
头部和颈部的异常	HP:0000163	Abnormality of the oral cavity	Abnormality of the `oral cavity` (FMA:20292), i.e., the opening or hollow part of the mouth.	口腔异常	口腔的异常，即开口或嘴中空的部分。
头部和颈部的异常	HP:0000164	Abnormality of the teeth	Any abnormality of the `teeth` (FMA:12516).	牙齿异常	牙齿的任何异常。
头部和颈部的异常,免疫系统异常	HP:0000166	Severe periodontitis	A `severe` (PATO:0000396) form of `periodontitis` (HP:0000165).	重度牙周炎	程度严重的牙周炎。
头部和颈部的异常	HP:0000168	Abnormality of the gingiva	Any abnormality of the `gingiva` (FMA:59762) (also known as gums).	牙龈异常	牙龈的任何异常。
